instant,date,season,year,month,hour,holiday,workingday,weather,temp,atemp,hum,casual,registered,total,casual_day,registered_day,revenue_hour,revenue_day,total_rentals_hour,total_rentals_day
57,2011-01-03,Spring,2011,Jan,11,0,1,Clear/Partly Cloudy,0.2,0.1818,0.4,10,41,51,120,1229,173,102888,51,1349
58,2011-01-03,Spring,2011,Jan,12,0,1,Clear/Partly Cloudy,0.22,0.2121,0.35,13,48,61,120,1229,209,102888,61,1349
59,2011-01-03,Spring,2011,Jan,13,0,1,Clear/Partly Cloudy,0.24,0.2121,0.35,8,53,61,120,1229,199,102888,61,1349
60,2011-01-03,Spring,2011,Jan,14,0,1,Clear/Partly Cloudy,0.26,0.2424,0.3,11,66,77,120,1229,253,102888,77,1349
61,2011-01-03,Spring,2011,Jan,15,0,1,Clear/Partly Cloudy,0.26,0.2424,0.3,14,58,72,120,1229,244,102888,72,1349
62,2011-01-03,Spring,2011,Jan,16,0,1,Clear/Partly Cloudy,0.26,0.2424,0.3,9,67,76,120,1229,246,102888,76,1349
63,2011-01-03,Spring,2011,Jan,17,0,1,Clear/Partly Cloudy,0.24,0.2273,0.3,11,146,157,120,1229,493,102888,157,1349
64,2011-01-03,Spring,2011,Jan,18,0,1,Clear/Partly Cloudy,0.24,0.2576,0.32,9,148,157,120,1229,489,102888,157,1349
65,2011-01-03,Spring,2011,Jan,19,0,1,Clear/Partly Cloudy,0.2,0.2576,0.47,8,102,110,120,1229,346,102888,110,1349
66,2011-01-03,Spring,2011,Jan,20,0,1,Clear/Partly Cloudy,0.2,0.2273,0.47,3,49,52,120,1229,162,102888,52,1349
67,2011-01-03,Spring,2011,Jan,21,0,1,Clear/Partly Cloudy,0.18,0.197,0.64,3,49,52,120,1229,162,102888,52,1349
68,2011-01-03,Spring,2011,Jan,22,0,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0,20,20,120,1229,60,102888,20,1349
69,2011-01-03,Spring,2011,Jan,23,0,1,Clear/Partly Cloudy,0.18,0.2121,0.55,1,11,12,120,1229,38,102888,12,1349
70,2011-01-04,Spring,2011,Jan,0,0,1,Clear/Partly Cloudy,0.16,0.1818,0.55,0,5,5,108,1454,15,117648,5,1562
71,2011-01-04,Spring,2011,Jan,1,0,1,Clear/Partly Cloudy,0.16,0.1818,0.59,0,2,2,108,1454,6,117648,2,1562
72,2011-01-04,Spring,2011,Jan,2,0,1,Clear/Partly Cloudy,0.14,0.1515,0.63,0,1,1,108,1454,3,117648,1,1562
73,2011-01-04,Spring,2011,Jan,4,0,1,Clear/Partly Cloudy,0.14,0.1818,0.63,0,2,2,108,1454,6,117648,2,1562
74,2011-01-04,Spring,2011,Jan,5,0,1,Clear/Partly Cloudy,0.12,0.1515,0.68,0,4,4,108,1454,12,117648,4,1562
75,2011-01-04,Spring,2011,Jan,6,0,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0,36,36,108,1454,108,117648,36,1562
76,2011-01-04,Spring,2011,Jan,7,0,1,Clear/Partly Cloudy,0.12,0.1515,0.74,2,92,94,108,1454,286,117648,94,1562
77,2011-01-04,Spring,2011,Jan,8,0,1,Clear/Partly Cloudy,0.14,0.1515,0.69,2,177,179,108,1454,541,117648,179,1562
78,2011-01-04,Spring,2011,Jan,9,0,1,Clear/Partly Cloudy,0.16,0.1515,0.64,2,98,100,108,1454,304,117648,100,1562
79,2011-01-04,Spring,2011,Jan,10,0,1,Mist/Cloudy,0.16,0.1364,0.69,5,37,42,108,1454,136,117648,42,1562
80,2011-01-04,Spring,2011,Jan,11,0,1,Clear/Partly Cloudy,0.22,0.2121,0.51,7,50,57,108,1454,185,117648,57,1562
81,2011-01-04,Spring,2011,Jan,12,0,1,Clear/Partly Cloudy,0.22,0.2273,0.51,12,66,78,108,1454,258,117648,78,1562
82,2011-01-04,Spring,2011,Jan,13,0,1,Clear/Partly Cloudy,0.24,0.2273,0.56,18,79,97,108,1454,327,117648,97,1562
83,2011-01-04,Spring,2011,Jan,14,0,1,Clear/Partly Cloudy,0.26,0.2576,0.52,9,54,63,108,1454,207,117648,63,1562
84,2011-01-04,Spring,2011,Jan,15,0,1,Clear/Partly Cloudy,0.28,0.2727,0.52,17,48,65,108,1454,229,117648,65,1562
85,2011-01-04,Spring,2011,Jan,16,0,1,Clear/Partly Cloudy,0.3,0.2879,0.49,15,68,83,108,1454,279,117648,83,1562
86,2011-01-04,Spring,2011,Jan,17,0,1,Clear/Partly Cloudy,0.28,0.2727,0.48,10,202,212,108,1454,656,117648,212,1562
87,2011-01-04,Spring,2011,Jan,18,0,1,Clear/Partly Cloudy,0.26,0.2576,0.48,3,179,182,108,1454,552,117648,182,1562
88,2011-01-04,Spring,2011,Jan,19,0,1,Clear/Partly Cloudy,0.24,0.2576,0.48,2,110,112,108,1454,340,117648,112,1562
89,2011-01-04,Spring,2011,Jan,20,0,1,Clear/Partly Cloudy,0.24,0.2576,0.48,1,53,54,108,1454,164,117648,54,1562
90,2011-01-04,Spring,2011,Jan,21,0,1,Clear/Partly Cloudy,0.22,0.2727,0.64,0,48,48,108,1454,144,117648,48,1562
91,2011-01-04,Spring,2011,Jan,22,0,1,Clear/Partly Cloudy,0.22,0.2576,0.64,1,34,35,108,1454,107,117648,35,1562
92,2011-01-04,Spring,2011,Jan,23,0,1,Clear/Partly Cloudy,0.2,0.2273,0.69,2,9,11,108,1454,37,117648,11,1562
93,2011-01-05,Spring,2011,Jan,0,0,1,Clear/Partly Cloudy,0.2,0.2576,0.64,0,6,6,82,1518,18,119136,6,1600
94,2011-01-05,Spring,2011,Jan,1,0,1,Clear/Partly Cloudy,0.16,0.197,0.74,0,6,6,82,1518,18,119136,6,1600
95,2011-01-05,Spring,2011,Jan,2,0,1,Clear/Partly Cloudy,0.16,0.197,0.74,0,2,2,82,1518,6,119136,2,1600
96,2011-01-05,Spring,2011,Jan,4,0,1,Clear/Partly Cloudy,0.24,0.2273,0.48,0,2,2,82,1518,6,119136,2,1600
97,2011-01-05,Spring,2011,Jan,5,0,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0,3,3,82,1518,9,119136,3,1600
98,2011-01-05,Spring,2011,Jan,6,0,1,Clear/Partly Cloudy,0.2,0.197,0.47,0,33,33,82,1518,99,119136,33,1600
99,2011-01-05,Spring,2011,Jan,7,0,1,Clear/Partly Cloudy,0.18,0.1818,0.43,1,87,88,82,1518,266,119136,88,1600
100,2011-01-05,Spring,2011,Jan,8,0,1,Clear/Partly Cloudy,0.2,0.1818,0.4,3,192,195,82,1518,591,119136,195,1600
101,2011-01-05,Spring,2011,Jan,9,0,1,Clear/Partly Cloudy,0.22,0.197,0.37,6,109,115,82,1518,357,119136,115,1600
102,2011-01-05,Spring,2011,Jan,10,0,1,Clear/Partly Cloudy,0.22,0.197,0.37,4,53,57,82,1518,179,119136,57,1600
103,2011-01-05,Spring,2011,Jan,11,0,1,Clear/Partly Cloudy,0.26,0.2273,0.33,12,34,46,82,1518,162,119136,46,1600
104,2011-01-05,Spring,2011,Jan,12,0,1,Clear/Partly Cloudy,0.26,0.2273,0.33,5,74,79,82,1518,247,119136,79,1600
105,2011-01-05,Spring,2011,Jan,13,0,1,Clear/Partly Cloudy,0.28,0.2576,0.3,6,65,71,82,1518,225,119136,71,1600
106,2011-01-05,Spring,2011,Jan,14,0,1,Clear/Partly Cloudy,0.3,0.2879,0.28,10,52,62,82,1518,206,119136,62,1600
107,2011-01-05,Spring,2011,Jan,15,0,1,Clear/Partly Cloudy,0.3,0.2879,0.28,7,55,62,82,1518,200,119136,62,1600
108,2011-01-05,Spring,2011,Jan,16,0,1,Clear/Partly Cloudy,0.3,0.3182,0.28,4,85,89,82,1518,275,119136,89,1600
109,2011-01-05,Spring,2011,Jan,17,0,1,Clear/Partly Cloudy,0.24,0.2273,0.38,4,186,190,82,1518,578,119136,190,1600
110,2011-01-05,Spring,2011,Jan,18,0,1,Clear/Partly Cloudy,0.24,0.2424,0.38,3,166,169,82,1518,513,119136,169,1600
111,2011-01-05,Spring,2011,Jan,19,0,1,Clear/Partly Cloudy,0.24,0.2576,0.38,5,127,132,82,1518,406,119136,132,1600
112,2011-01-05,Spring,2011,Jan,20,0,1,Clear/Partly Cloudy,0.22,0.2273,0.47,7,82,89,82,1518,281,119136,89,1600
113,2011-01-05,Spring,2011,Jan,21,0,1,Clear/Partly Cloudy,0.2,0.197,0.51,3,40,43,82,1518,135,119136,43,1600
114,2011-01-05,Spring,2011,Jan,22,0,1,Clear/Partly Cloudy,0.18,0.197,0.55,1,41,42,82,1518,128,119136,42,1600
115,2011-01-05,Spring,2011,Jan,23,0,1,Clear/Partly Cloudy,0.2,0.2576,0.47,1,18,19,82,1518,59,119136,19,1600
116,2011-01-06,Spring,2011,Jan,0,0,1,Clear/Partly Cloudy,0.18,0.2424,0.55,0,11,11,88,1518,33,119856,11,1606
117,2011-01-06,Spring,2011,Jan,1,0,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0,4,4,88,1518,12,119856,4,1606
118,2011-01-06,Spring,2011,Jan,2,0,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0,2,2,88,1518,6,119856,2,1606
119,2011-01-06,Spring,2011,Jan,4,0,1,Mist/Cloudy,0.16,0.197,0.64,0,1,1,88,1518,3,119856,1,1606
120,2011-01-06,Spring,2011,Jan,5,0,1,Mist/Cloudy,0.14,0.1818,0.69,0,4,4,88,1518,12,119856,4,1606
121,2011-01-06,Spring,2011,Jan,6,0,1,Mist/Cloudy,0.14,0.1667,0.63,0,36,36,88,1518,108,119856,36,1606
122,2011-01-06,Spring,2011,Jan,7,0,1,Mist/Cloudy,0.16,0.2273,0.59,0,95,95,88,1518,285,119856,95,1606
123,2011-01-06,Spring,2011,Jan,8,0,1,Clear/Partly Cloudy,0.16,0.2273,0.59,3,216,219,88,1518,663,119856,219,1606
124,2011-01-06,Spring,2011,Jan,9,0,1,Mist/Cloudy,0.18,0.2424,0.51,6,116,122,88,1518,378,119856,122,1606
125,2011-01-06,Spring,2011,Jan,10,0,1,Clear/Partly Cloudy,0.2,0.2576,0.47,3,42,45,88,1518,141,119856,45,1606
126,2011-01-06,Spring,2011,Jan,11,0,1,Clear/Partly Cloudy,0.22,0.2576,0.44,2,57,59,88,1518,181,119856,59,1606
127,2011-01-06,Spring,2011,Jan,12,0,1,Clear/Partly Cloudy,0.26,0.2879,0.35,6,78,84,88,1518,264,119856,84,1606
128,2011-01-06,Spring,2011,Jan,13,0,1,Clear/Partly Cloudy,0.26,0.2727,0.35,12,55,67,88,1518,225,119856,67,1606
129,2011-01-06,Spring,2011,Jan,14,0,1,Clear/Partly Cloudy,0.28,0.2727,0.36,11,59,70,88,1518,232,119856,70,1606
130,2011-01-06,Spring,2011,Jan,15,0,1,Clear/Partly Cloudy,0.28,0.2727,0.36,8,54,62,88,1518,202,119856,62,1606
131,2011-01-06,Spring,2011,Jan,16,0,1,Clear/Partly Cloudy,0.26,0.2576,0.38,12,74,86,88,1518,282,119856,86,1606
132,2011-01-06,Spring,2011,Jan,17,0,1,Clear/Partly Cloudy,0.22,0.2273,0.51,9,163,172,88,1518,534,119856,172,1606
133,2011-01-06,Spring,2011,Jan,18,0,1,Clear/Partly Cloudy,0.22,0.2273,0.51,5,158,163,88,1518,499,119856,163,1606
134,2011-01-06,Spring,2011,Jan,19,0,1,Clear/Partly Cloudy,0.22,0.2576,0.55,3,109,112,88,1518,342,119856,112,1606
135,2011-01-06,Spring,2011,Jan,20,0,1,Clear/Partly Cloudy,0.2,0.2121,0.51,3,66,69,88,1518,213,119856,69,1606
136,2011-01-06,Spring,2011,Jan,21,0,1,Mist/Cloudy,0.22,0.2121,0.55,0,48,48,88,1518,144,119856,48,1606
137,2011-01-06,Spring,2011,Jan,22,0,1,Mist/Cloudy,0.22,0.2121,0.51,1,51,52,88,1518,158,119856,52,1606
138,2011-01-06,Spring,2011,Jan,23,0,1,Mist/Cloudy,0.2,0.197,0.59,4,19,23,88,1518,77,119856,23,1606
139,2011-01-07,Spring,2011,Jan,0,0,1,Mist/Cloudy,0.2,0.197,0.64,4,13,17,148,1362,59,115824,17,1510
140,2011-01-07,Spring,2011,Jan,1,0,1,Mist/Cloudy,0.2,0.197,0.69,2,5,7,148,1362,25,115824,7,1510
141,2011-01-07,Spring,2011,Jan,2,0,1,Mist/Cloudy,0.2,0.197,0.69,0,1,1,148,1362,3,115824,1,1510
142,2011-01-07,Spring,2011,Jan,4,0,1,Mist/Cloudy,0.2,0.2121,0.69,0,1,1,148,1362,3,115824,1,1510
143,2011-01-07,Spring,2011,Jan,5,0,1,Light Snow/Rain,0.22,0.2727,0.55,0,5,5,148,1362,15,115824,5,1510
144,2011-01-07,Spring,2011,Jan,6,0,1,Mist/Cloudy,0.2,0.2576,0.69,8,26,34,148,1362,118,115824,34,1510
145,2011-01-07,Spring,2011,Jan,7,0,1,Clear/Partly Cloudy,0.2,0.2121,0.69,8,76,84,148,1362,268,115824,84,1510
146,2011-01-07,Spring,2011,Jan,8,0,1,Clear/Partly Cloudy,0.2,0.197,0.51,20,190,210,148,1362,670,115824,210,1510
147,2011-01-07,Spring,2011,Jan,9,0,1,Clear/Partly Cloudy,0.2,0.1818,0.47,9,125,134,148,1362,420,115824,134,1510
148,2011-01-07,Spring,2011,Jan,10,0,1,Clear/Partly Cloudy,0.22,0.197,0.37,16,47,63,148,1362,221,115824,63,1510
149,2011-01-07,Spring,2011,Jan,11,0,1,Mist/Cloudy,0.2,0.197,0.4,19,48,67,148,1362,239,115824,67,1510
150,2011-01-07,Spring,2011,Jan,12,0,1,Mist/Cloudy,0.2,0.197,0.37,9,50,59,148,1362,195,115824,59,1510
151,2011-01-07,Spring,2011,Jan,13,0,1,Mist/Cloudy,0.2,0.1818,0.37,9,64,73,148,1362,237,115824,73,1510
152,2011-01-07,Spring,2011,Jan,14,0,1,Mist/Cloudy,0.2,0.197,0.4,7,43,50,148,1362,164,115824,50,1510
153,2011-01-07,Spring,2011,Jan,15,0,1,Mist/Cloudy,0.2,0.2121,0.37,9,63,72,148,1362,234,115824,72,1510
154,2011-01-07,Spring,2011,Jan,16,0,1,Mist/Cloudy,0.2,0.2121,0.37,5,82,87,148,1362,271,115824,87,1510
155,2011-01-07,Spring,2011,Jan,17,0,1,Mist/Cloudy,0.2,0.2576,0.37,9,178,187,148,1362,579,115824,187,1510
156,2011-01-07,Spring,2011,Jan,18,0,1,Clear/Partly Cloudy,0.2,0.2273,0.4,7,116,123,148,1362,383,115824,123,1510
157,2011-01-07,Spring,2011,Jan,19,0,1,Clear/Partly Cloudy,0.16,0.197,0.55,3,92,95,148,1362,291,115824,95,1510
158,2011-01-07,Spring,2011,Jan,20,0,1,Clear/Partly Cloudy,0.18,0.2121,0.47,1,50,51,148,1362,155,115824,51,1510
159,2011-01-07,Spring,2011,Jan,21,0,1,Clear/Partly Cloudy,0.18,0.197,0.47,0,39,39,148,1362,117,115824,39,1510
160,2011-01-07,Spring,2011,Jan,22,0,1,Mist/Cloudy,0.18,0.197,0.43,2,34,36,148,1362,112,115824,36,1510
161,2011-01-07,Spring,2011,Jan,23,0,1,Mist/Cloudy,0.18,0.197,0.51,1,14,15,148,1362,47,115824,15,1510
162,2011-01-08,Spring,2011,Jan,0,0,0,Mist/Cloudy,0.18,0.197,0.51,1,24,25,68,891,77,72312,25,959
163,2011-01-08,Spring,2011,Jan,1,0,0,Mist/Cloudy,0.18,0.2121,0.55,1,15,16,68,891,50,72312,16,959
164,2011-01-08,Spring,2011,Jan,2,0,0,Mist/Cloudy,0.18,0.2424,0.55,3,13,16,68,891,54,72312,16,959
165,2011-01-08,Spring,2011,Jan,3,0,0,Light Snow/Rain,0.18,0.197,0.55,0,7,7,68,891,21,72312,7,959
166,2011-01-08,Spring,2011,Jan,4,0,0,Light Snow/Rain,0.18,0.197,0.55,0,1,1,68,891,3,72312,1,959
167,2011-01-08,Spring,2011,Jan,5,0,0,Mist/Cloudy,0.16,0.1667,0.74,0,5,5,68,891,15,72312,5,959
168,2011-01-08,Spring,2011,Jan,6,0,0,Mist/Cloudy,0.16,0.1667,0.74,0,2,2,68,891,6,72312,2,959
169,2011-01-08,Spring,2011,Jan,7,0,0,Mist/Cloudy,0.16,0.1818,0.74,1,8,9,68,891,29,72312,9,959
170,2011-01-08,Spring,2011,Jan,8,0,0,Light Snow/Rain,0.16,0.1818,0.93,0,15,15,68,891,45,72312,15,959
171,2011-01-08,Spring,2011,Jan,9,0,0,Light Snow/Rain,0.16,0.1818,0.93,0,20,20,68,891,60,72312,20,959
172,2011-01-08,Spring,2011,Jan,10,0,0,Mist/Cloudy,0.18,0.197,0.8,5,56,61,68,891,193,72312,61,959
173,2011-01-08,Spring,2011,Jan,11,0,0,Mist/Cloudy,0.2,0.1818,0.69,2,60,62,68,891,190,72312,62,959
174,2011-01-08,Spring,2011,Jan,12,0,0,Mist/Cloudy,0.2,0.1818,0.59,8,90,98,68,891,310,72312,98,959
175,2011-01-08,Spring,2011,Jan,13,0,0,Clear/Partly Cloudy,0.2,0.1818,0.44,7,95,102,68,891,320,72312,102,959
176,2011-01-08,Spring,2011,Jan,14,0,0,Clear/Partly Cloudy,0.2,0.1667,0.32,12,83,95,68,891,309,72312,95,959
177,2011-01-08,Spring,2011,Jan,15,0,0,Clear/Partly Cloudy,0.2,0.1667,0.32,5,69,74,68,891,232,72312,74,959
178,2011-01-08,Spring,2011,Jan,16,0,0,Clear/Partly Cloudy,0.18,0.1364,0.29,8,68,76,68,891,244,72312,76,959
179,2011-01-08,Spring,2011,Jan,17,0,0,Clear/Partly Cloudy,0.16,0.1212,0.37,5,64,69,68,891,217,72312,69,959
180,2011-01-08,Spring,2011,Jan,18,0,0,Clear/Partly Cloudy,0.14,0.1212,0.39,3,52,55,68,891,171,72312,55,959
181,2011-01-08,Spring,2011,Jan,19,0,0,Clear/Partly Cloudy,0.14,0.1212,0.36,4,26,30,68,891,98,72312,30,959
182,2011-01-08,Spring,2011,Jan,20,0,0,Clear/Partly Cloudy,0.12,0.1212,0.36,0,28,28,68,891,84,72312,28,959
183,2011-01-08,Spring,2011,Jan,21,0,0,Clear/Partly Cloudy,0.12,0.1061,0.39,2,35,37,68,891,115,72312,37,959
184,2011-01-08,Spring,2011,Jan,22,0,0,Clear/Partly Cloudy,0.12,0.1061,0.36,1,33,34,68,891,104,72312,34,959
185,2011-01-08,Spring,2011,Jan,23,0,0,Clear/Partly Cloudy,0.1,0.0606,0.39,0,22,22,68,891,66,72312,22,959
186,2011-01-09,Spring,2011,Jan,0,0,0,Clear/Partly Cloudy,0.1,0.0758,0.42,1,24,25,54,768,77,61776,25,822
187,2011-01-09,Spring,2011,Jan,1,0,0,Clear/Partly Cloudy,0.1,0.0606,0.42,0,12,12,54,768,36,61776,12,822
188,2011-01-09,Spring,2011,Jan,2,0,0,Clear/Partly Cloudy,0.1,0.0606,0.46,0,11,11,54,768,33,61776,11,822
189,2011-01-09,Spring,2011,Jan,3,0,0,Clear/Partly Cloudy,0.1,0.0758,0.46,0,4,4,54,768,12,61776,4,822
190,2011-01-09,Spring,2011,Jan,4,0,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0,1,1,54,768,3,61776,1,822
191,2011-01-09,Spring,2011,Jan,5,0,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0,1,1,54,768,3,61776,1,822
192,2011-01-09,Spring,2011,Jan,6,0,0,Clear/Partly Cloudy,0.1,0.0909,0.49,0,1,1,54,768,3,61776,1,822
193,2011-01-09,Spring,2011,Jan,7,0,0,Clear/Partly Cloudy,0.08,0.0909,0.53,1,5,6,54,768,20,61776,6,822
194,2011-01-09,Spring,2011,Jan,8,0,0,Clear/Partly Cloudy,0.1,0.0909,0.49,0,10,10,54,768,30,61776,10,822
